Variável preditora;Coeficiente;Erro padrão;Valor z;Pr(>|z|);descricao
(Intercept);38.499;2218.451;0.017;0.986;rlm_offer
satisfaction_score_4;-63.36;2801.296;-0.023;0.982;rlm_offer
satisfaction_score_5;-63.746;3168.909;-0.02;0.984;rlm_offer
satisfaction_score_3;-40.89;2218.451;-0.018;0.985;rlm_offer
flg_online_security1;-3.964;0.472;-8.391;0;rlm_offer
internet_type_None;-2.235;0.845;-2.646;0.008;rlm_offer
number_of_referrals;-0.662;0.111;-5.959;0;rlm_offer
tx_concentracao_cobranca_mes_q3;2.49;0.377;6.606;0;rlm_offer
flg_married1;1.765;0.294;6.012;0;rlm_offer
number_of_dependents;-1.054;0.198;-5.323;0;rlm_offer
contract_Two_Year;-2.116;0.401;-5.277;0;rlm_offer
monthly_charge;0.121;0.026;4.553;0;rlm_offer
county_San_Diego_County;1.222;0.297;4.11;0;rlm_offer
flg_premium_tech_support1;-1.045;0.27;-3.87;0;rlm_offer
qtd_servicos_principais;-3.465;0.783;-4.425;0;rlm_offer
contract_One_Year;-0.88;0.284;-3.101;0.002;rlm_offer
county_Mendocino_County;-18.584;3495.313;-0.005;0.996;rlm_offer
county_Lake_County;-16.285;1656.465;-0.01;0.992;rlm_offer
county_Nevada_County;-18.62;3251.761;-0.006;0.995;rlm_offer
age;0.02;0.007;2.997;0.003;rlm_offer
county_Tulare_County;-1.296;0.851;-1.523;0.128;rlm_offer
county_Fresno_County;1.236;0.565;2.189;0.029;rlm_offer
tx_contrib_cobrancas_extras_cobranca_geral;6.049;2.581;2.344;0.019;rlm_offer
county_El_Dorado_County;1.861;0.861;2.161;0.031;rlm_offer
internet_type_Fiber_Optic;-1.838;0.681;-2.701;0.007;rlm_offer
flg_online_backup1;-0.572;0.256;-2.233;0.026;rlm_offer
county_San_Mateo_County;-2.247;1.142;-1.967;0.049;rlm_offer
cltv;-0;0;-1.584;0.113;rlm_offer
county_Colusa_County;1.921;1.19;1.615;0.106;rlm_offer
avg_monthly_long_distance_charges;-0.057;0.024;-2.408;0.016;rlm_offer
county_Lassen_County;2.512;1.224;2.051;0.04;rlm_offer
condado_renda_familiar_mediana;0;0;2.44;0.015;rlm_offer
county_Shasta_County;1.441;0.74;1.947;0.052;rlm_offer
county_Plumas_County;2.498;1.391;1.795;0.073;rlm_offer
condado_idade_mediana_habitantes;-0.051;0.031;-1.666;0.096;rlm_offer
county_Trinity_County;2.026;1.457;1.39;0.164;rlm_offer
county_Tuolumne_County;1.379;1.034;1.333;0.182;rlm_offer
valor_cobranca_geral;0.001;0;2.424;0.015;rlm_offer
total_charges;-0.001;0;-2.634;0.008;rlm_offer
flg_streaming_tv1;-0.511;0.35;-1.46;0.144;rlm_offer
flg_streaming_movies1;-1.125;0.47;-2.391;0.017;rlm_offer
flg_streaming_music1;0.765;0.361;2.121;0.034;rlm_offer
county_Monterey_County;0.802;0.619;1.296;0.195;rlm_offer
county_Santa_Barbara_County;0.992;0.77;1.288;0.198;rlm_offer
