descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Árvore de decisão;0.1;0.934;0.941;0.931;0.985
Árvore de decisão;0.15;0.945;0.914;0.956;0.985
Árvore de decisão;0.2;0.943;0.904;0.957;0.985
Árvore de decisão;0.25;0.942;0.893;0.959;0.985
Árvore de decisão;0.3;0.944;0.886;0.965;0.985
Árvore de decisão;0.35;0.945;0.884;0.967;0.985
Árvore de decisão;0.4;0.945;0.884;0.967;0.985
Árvore de decisão;0.45;0.945;0.884;0.967;0.985
Árvore de decisão;0.5;0.945;0.884;0.967;0.985
Árvore de decisão;0.55;0.945;0.884;0.967;0.985
Árvore de decisão;0.6;0.945;0.884;0.967;0.985
Árvore de decisão;0.65;0.945;0.884;0.967;0.985
Árvore de decisão;0.7;0.944;0.879;0.968;0.985
Árvore de decisão;0.75;0.945;0.85;0.979;0.985
Árvore de decisão;0.8;0.944;0.793;0.998;0.985
Árvore de decisão;0.85;0.944;0.793;0.998;0.985
Árvore de decisão;0.9;0.944;0.793;0.998;0.985
