descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC;AIC
Regressão logística stepwise;0.1;0.92;0.966;0.904;0.989;836.782
Regressão logística stepwise;0.15;0.933;0.961;0.923;0.989;836.782
Regressão logística stepwise;0.2;0.939;0.95;0.935;0.989;836.782
Regressão logística stepwise;0.25;0.943;0.945;0.943;0.989;836.782
Regressão logística stepwise;0.3;0.945;0.934;0.949;0.989;836.782
Regressão logística stepwise;0.35;0.949;0.929;0.957;0.989;836.782
Regressão logística stepwise;0.4;0.954;0.923;0.965;0.989;836.782
Regressão logística stepwise;0.45;0.955;0.912;0.97;0.989;836.782
Regressão logística stepwise;0.5;0.956;0.9;0.977;0.989;836.782
Regressão logística stepwise;0.55;0.955;0.889;0.979;0.989;836.782
Regressão logística stepwise;0.6;0.957;0.877;0.986;0.989;836.782
Regressão logística stepwise;0.65;0.956;0.87;0.987;0.989;836.782
Regressão logística stepwise;0.7;0.955;0.855;0.992;0.989;836.782
Regressão logística stepwise;0.75;0.955;0.848;0.994;0.989;836.782
Regressão logística stepwise;0.8;0.955;0.841;0.997;0.989;836.782
Regressão logística stepwise;0.85;0.949;0.814;0.997;0.989;836.782
Regressão logística stepwise;0.9;0.941;0.786;0.997;0.989;836.782
