descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Random forest com validação cruzada;0.1;0.893;0.988;0.859;0.989
Random forest com validação cruzada;0.15;0.922;0.973;0.904;0.989
Random forest com validação cruzada;0.2;0.933;0.959;0.924;0.989
Random forest com validação cruzada;0.25;0.941;0.948;0.939;0.989
Random forest com validação cruzada;0.3;0.949;0.932;0.956;0.989
Random forest com validação cruzada;0.35;0.953;0.925;0.963;0.989
Random forest com validação cruzada;0.4;0.954;0.918;0.967;0.989
Random forest com validação cruzada;0.45;0.959;0.914;0.975;0.989
Random forest com validação cruzada;0.5;0.962;0.904;0.983;0.989
Random forest com validação cruzada;0.55;0.962;0.887;0.988;0.989
Random forest com validação cruzada;0.6;0.958;0.864;0.992;0.989
Random forest com validação cruzada;0.65;0.953;0.839;0.994;0.989
Random forest com validação cruzada;0.7;0.948;0.812;0.997;0.989
Random forest com validação cruzada;0.75;0.945;0.796;0.999;0.989
Random forest com validação cruzada;0.8;0.943;0.787;0.999;0.989
Random forest com validação cruzada;0.85;0.938;0.766;0.999;0.989
Random forest com validação cruzada;0.9;0.924;0.713;1;0.989
