descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Random forest dummy county;0.1;0.746;0.986;0.66;0.981
Random forest dummy county;0.15;0.84;0.968;0.794;0.981
Random forest dummy county;0.2;0.887;0.957;0.862;0.981
Random forest dummy county;0.25;0.928;0.945;0.921;0.981
Random forest dummy county;0.3;0.941;0.925;0.947;0.981
Random forest dummy county;0.35;0.953;0.916;0.966;0.981
Random forest dummy county;0.4;0.96;0.909;0.978;0.981
Random forest dummy county;0.45;0.963;0.895;0.987;0.981
Random forest dummy county;0.5;0.964;0.882;0.993;0.981
Random forest dummy county;0.55;0.957;0.855;0.994;0.981
Random forest dummy county;0.6;0.949;0.82;0.996;0.981
Random forest dummy county;0.65;0.942;0.787;0.998;0.981
Random forest dummy county;0.7;0.93;0.739;0.999;0.981
Random forest dummy county;0.75;0.911;0.662;1;0.981
Random forest dummy county;0.8;0.878;0.541;1;0.981
Random forest dummy county;0.85;0.84;0.398;1;0.981
Random forest dummy county;0.9;0.788;0.2;1;0.981
