descricao;Ponto de corte;Acurácia;Sensitividade;Especificidade;AUC
Random forest sem county;0.1;0.782;0.986;0.708;0.984
Random forest sem county;0.15;0.872;0.97;0.836;0.984
Random forest sem county;0.2;0.913;0.955;0.898;0.984
Random forest sem county;0.25;0.937;0.945;0.934;0.984
Random forest sem county;0.3;0.948;0.923;0.957;0.984
Random forest sem county;0.35;0.955;0.914;0.97;0.984
Random forest sem county;0.4;0.959;0.907;0.977;0.984
Random forest sem county;0.45;0.964;0.904;0.986;0.984
Random forest sem county;0.5;0.964;0.887;0.992;0.984
Random forest sem county;0.55;0.96;0.866;0.994;0.984
Random forest sem county;0.6;0.955;0.841;0.996;0.984
Random forest sem county;0.65;0.948;0.811;0.998;0.984
Random forest sem county;0.7;0.944;0.795;0.998;0.984
Random forest sem county;0.75;0.932;0.745;0.999;0.984
Random forest sem county;0.8;0.917;0.686;1;0.984
Random forest sem county;0.85;0.879;0.545;1;0.984
Random forest sem county;0.9;0.828;0.352;1;0.984
